Gene stable ID,Gene name,UniProtKB/Swiss-Prot ID
ENSG00000154654,NCAM2,O15394
ENSG00000154654,NCAM2,
ENSG00000166262,FAM227B,
ENSG00000176136,MC5R,
ENSG00000176136,MC5R,P33032
ENSG00000166262,FAM227B,Q96M60
ENSG00000185231,MC2R,Q01718
ENSG00000261698,DGAT1,O75907
ENSG00000185231,MC2R,
ENSG00000261698,DGAT1,
ENSG00000103642,LACTB,P83111
ENSG00000103642,LACTB,
ENSG00000261678,SCRT1,Q9BWW7
ENSG00000175322,ZNF519,
ENSG00000175322,ZNF519,Q8TB69
ENSG00000261587,TMEM249,
ENSG00000101160,CTSZ,Q9UBR2
ENSG00000197299,BLM,P54132
ENSG00000154719,MRPL39,Q9NYK5
ENSG00000197299,BLM,
ENSG00000154719,MRPL39,
ENSG00000022277,RTFDC1,Q9BY42
ENSG00000022277,RTFDC1,
ENSG00000166145,SPINT1,O43278
ENSG00000166145,SPINT1,
ENSG00000088881,EBF4,
ENSG00000088881,EBF4,Q9BQW3
ENSG00000101162,TUBB1,Q9H4B7
ENSG00000140285,FGF7,P21781
ENSG00000140285,FGF7,
ENSG00000266996,TCEB3CL2,A6NLF2
ENSG00000183206,POTEC,
ENSG00000234298,TCEB3CL,Q3SY89
ENSG00000261042,SLC52A2,
ENSG00000124172,ATP5E,P56381
ENSG00000183206,POTEC,B2RU33
ENSG00000101457,DNTTIP1,Q9H147
ENSG00000185088,RPS27L,Q71UM5
ENSG00000183791,TCEB3C,Q8NG57
ENSG00000101457,DNTTIP1,
ENSG00000185088,RPS27L,
ENSG00000261042,SLC52A2,Q9HAB3
ENSG00000154721,JAM2,P57087
ENSG00000154721,JAM2,
ENSG00000206181,TCEB3B,Q8IYF1
ENSG00000170122,FOXD4,Q12950
ENSG00000166128,RAB8B,Q92930
ENSG00000166128,RAB8B,
ENSG00000124091,GCNT7,Q6ZNI0
ENSG00000175063,UBE2C,O00762
ENSG00000101166,SLMO2,Q9Y3B1
ENSG00000175063,UBE2C,
ENSG00000261539,FBXL6,
ENSG00000101166,SLMO2,
ENSG00000167220,HDHD2,Q9H0R4
ENSG00000154723,ATP5J,
ENSG00000171448,ZBTB26,Q9HCK0
ENSG00000167220,HDHD2,
ENSG00000124103,FAM209A,Q5JX71
ENSG00000154723,ATP5J,P18859
ENSG00000213714,FAM209B,Q5JX69
ENSG00000104047,DTWD1,Q8N5C7
ENSG00000104047,DTWD1,
ENSG00000104140,RHOV,Q96L33
ENSG00000088882,CPXM1,Q96SM3
ENSG00000267228,IER3IP1,
ENSG00000140564,FURIN,P09958
ENSG00000140564,FURIN,
ENSG00000261694,ADCK5,
ENSG00000140157,NIPA2,Q8N8Q9
ENSG00000140157,NIPA2,
ENSG00000087510,TFAP2C,Q92754
ENSG00000087510,TFAP2C,
ENSG00000124203,ZNF831,Q5JPB2
ENSG00000261694,ADCK5,Q3MIX3
ENSG00000154727,GABPA,Q06546
ENSG00000104142,VPS18,Q9P253
ENSG00000104142,VPS18,
ENSG00000138613,APH1B,
ENSG00000101470,TNNC2,P02585
ENSG00000101470,TNNC2,
ENSG00000134049,IER3IP1,Q9Y5U9
ENSG00000138613,APH1B,Q8WW43
ENSG00000011454,RABGAP1,Q9Y3P9
ENSG00000128917,DLL4,Q9NR61
ENSG00000124205,EDN3,P14138
ENSG00000198326,TMEM239,
ENSG00000124205,EDN3,
ENSG00000198326,TMEM239,Q8WW34
ENSG00000241690,TMEM239,
ENSG00000011454,RABGAP1,
ENSG00000258713,C20orf141,Q9NUB4
ENSG00000215474,SKOR2,Q2VWA4
ENSG00000188394,GPR21,Q99679
ENSG00000261230,CPSF1,
ENSG00000101144,BMP7,P18075
ENSG00000101144,BMP7,
ENSG00000180777,ANKRD30B,Q9BXX2
ENSG00000132635,PCED1A,
ENSG00000261230,CPSF1,Q10570
ENSG00000132635,PCED1A,Q9H1Q7
ENSG00000175387,SMAD2,Q15796
ENSG00000104043,ATP8B4,
ENSG00000175387,SMAD2,
ENSG00000182511,FES,
ENSG00000165209,STRBP,
ENSG00000172785,CBWD1,Q9BRT8
ENSG00000170113,NIPA1,Q7RTP0
ENSG00000170113,NIPA1,
ENSG00000054796,SPO11,Q9Y5K1
ENSG00000261297,SLC39A4,
ENSG00000054796,SPO11,
ENSG00000104043,ATP8B4,Q8TF62
ENSG00000172785,CBWD1,
ENSG00000182511,FES,P07332
ENSG00000074410,CA12,O43570
ENSG00000165209,STRBP,Q96SI9
ENSG00000074410,CA12,
ENSG00000183784,C9orf66,Q5T8R8
ENSG00000087495,PHACTR3,Q96KR7
ENSG00000128965,CHAC1,Q9BUX1
ENSG00000087495,PHACTR3,
ENSG00000128965,CHAC1,
ENSG00000067900,ROCK1,Q13464
ENSG00000260313,VPS28,Q9UK41
ENSG00000067900,ROCK1,
ENSG00000260313,VPS28,
ENSG00000124104,SNX21,Q969T3
ENSG00000124104,SNX21,
ENSG00000260716,TONSL,
ENSG00000148204,CRB2,Q5IJ48
ENSG00000153666,GOLGA8I,A6NC78
ENSG00000101146,RAE1,P78406
ENSG00000101146,RAE1,
ENSG00000261772,IQSEC3,Q9UPP2
ENSG00000215305,VPS16,Q9H269
ENSG00000101473,ACOT8,O14734
ENSG00000215305,VPS16,
ENSG00000101473,ACOT8,
ENSG00000140284,SLC27A2,O14975
ENSG00000198033,TUBA3C,Q13748
ENSG00000140284,SLC27A2,
ENSG00000121388,RP11-408E5.4,Q9H521
ENSG00000128908,INO80,Q9ULG1
ENSG00000128908,INO80,
ENSG00000256222,MTRNR2L3,P0CJ70
ENSG00000142192,APP,P05067
ENSG00000107099,DOCK8,
ENSG00000132819,RBM38,Q9H0Z9
ENSG00000142192,APP,
ENSG00000132819,RBM38,
ENSG00000166265,CYYR1,Q96J86
ENSG00000166265,CYYR1,
ENSG00000141449,GREB1L,Q9C091
ENSG00000119522,DENND1A,Q8TEH3
ENSG00000141449,GREB1L,
ENSG00000140287,HDC,P19113
ENSG00000140287,HDC,
ENSG00000107099,DOCK8,Q8NF50
ENSG00000140455,USP3,
ENSG00000184828,ZBTB7C,A1YPR0
ENSG00000132958,TPTE2,Q6XPS3
ENSG00000132958,TPTE2,
ENSG00000184828,ZBTB7C,
ENSG00000106689,LHX2,
ENSG00000154734,ADAMTS1,Q9UHI8
ENSG00000106689,LHX2,P50458
ENSG00000140455,USP3,Q9Y6I4
ENSG00000259455,RP11-467N20.5,
ENSG00000154734,ADAMTS1,
ENSG00000154736,ADAMTS5,Q9UNA0
ENSG00000261739,GOLGA8S,
ENSG00000196074,SYCP2,Q9BX26
ENSG00000196074,SYCP2,
ENSG00000178997,EXD1,Q8NHP7
ENSG00000196199,MPHOSPH8,Q99549
ENSG00000178997,EXD1,
ENSG00000196199,MPHOSPH8,
ENSG00000156239,N6AMT1,Q9Y5N5
ENSG00000196547,MAN2A2,
ENSG00000231825,PRRC2A,P48634
ENSG00000268960,AC091150.1,
ENSG00000174450,GOLGA6L2,
ENSG00000174450,GOLGA6L2,Q8N9W4
ENSG00000121390,PSPC1,Q8WXF1
ENSG00000107104,KANK1,Q14678
ENSG00000121390,PSPC1,
ENSG00000231825,PRRC2A,
ENSG00000269591,AL354808.2,
ENSG00000196547,MAN2A2,P49641
ENSG00000107104,KANK1,
ENSG00000179455,MKRN3,
ENSG00000119408,NEK6,Q9HC98
ENSG00000179455,MKRN3,Q13064
ENSG00000137090,DMRT1,Q9Y5R6
ENSG00000137090,DMRT1,
ENSG00000119408,NEK6,
ENSG00000064218,DMRT3,Q9NQL9
ENSG00000064218,DMRT3,
ENSG00000134030,CTIF,O43310
ENSG00000128322,IGLL1,P15814
ENSG00000134030,CTIF,
ENSG00000128322,IGLL1,
ENSG00000104064,GABPB1,Q06547
ENSG00000254585,MAGEL2,
ENSG00000132950,ZMYM5,
ENSG00000182636,NDN,Q99608
ENSG00000132950,ZMYM5,Q9UJ78
ENSG00000104064,GABPB1,
ENSG00000132801,ZSWIM3,Q96MP5
ENSG00000132801,ZSWIM3,
ENSG00000185823,NPAP1,Q9NZP6
ENSG00000168612,ZSWIM1,Q9BR11
ENSG00000173253,DMRT2,Q9Y5R5
ENSG00000260384,SERINC2,Q96SA4
ENSG00000149634,SPATA25,Q9BR10
ENSG00000261921,HYAL2,Q12891
ENSG00000187446,CHP1,
ENSG00000136930,PSMB7,Q99436
ENSG00000136930,PSMB7,
ENSG00000124257,NEURL2,
ENSG00000261921,HYAL2,
ENSG00000124257,NEURL2,Q9BR09
ENSG00000187446,CHP1,Q99653
ENSG00000261887,C5orf30,Q96GV9
ENSG00000198862,LTN1,O94822
ENSG00000215781,AC011043.1,
ENSG00000198862,LTN1,
ENSG00000104147,OIP5,O43482
ENSG00000104147,OIP5,
ENSG00000180264,GPR144,Q7Z7M1
ENSG00000124092,CTCFL,Q8NI51
ENSG00000189269,C22orf43,Q6PGQ1
ENSG00000124092,CTCFL,
ENSG00000262860,LSM14A,Q8ND56
ENSG00000262860,LSM14A,
ENSG00000136931,NR5A1,Q13285
ENSG00000136931,NR5A1,
ENSG00000156253,RWDD2B,P57060
ENSG00000196227,FAM217B,Q9NTX9
ENSG00000101665,SMAD7,O15105
ENSG00000196227,FAM217B,
ENSG00000101665,SMAD7,
ENSG00000262485,TUSC2,O75896
ENSG00000132825,PPP1R3D,O95685
ENSG00000262485,TUSC2,
ENSG00000236227,BRD2,
ENSG00000128739,SNRPN,P63162
ENSG00000260130,MYOM2,P54296
ENSG00000260130,MYOM2,
ENSG00000128739,SNRPN,
ENSG00000148200,NR6A1,Q15406
ENSG00000148200,NR6A1,
ENSG00000159496,RGL4,
ENSG00000132670,PTPRA,P18433
ENSG00000132670,PTPRA,
ENSG00000159496,RGL4,Q8IZJ4
ENSG00000124215,CDH26,Q8IXH8
ENSG00000124215,CDH26,
ENSG00000064601,CTSA,
ENSG00000185585,OLFML2A,
ENSG00000185585,OLFML2A,Q68BL7
ENSG00000267483,RBFOX3,
ENSG00000267483,RBFOX3,A6NFN3
ENSG00000197361,FBXL22,Q6P050
ENSG00000197361,FBXL22,
ENSG00000141446,ESCO1,Q5FWF5
ENSG00000136918,WDR38,Q5JTN6
ENSG00000261981,ENPP7,Q6UWV6
ENSG00000121741,ZMYM2,Q9UBW7
ENSG00000261981,ENPP7,
ENSG00000136942,RPL35,
ENSG00000263005,RASSF1,Q9NS23
ENSG00000136942,RPL35,P42766
ENSG00000262762,CBX2,Q14781
ENSG00000080503,SMARCA2,
ENSG00000137804,NUSAP1,Q9BXS6
ENSG00000230141,HLA-DOA,P06340
ENSG00000137804,NUSAP1,
ENSG00000230141,HLA-DOA,
ENSG00000136950,ARPC5L,Q9BPX5
ENSG00000176659,C20orf197,Q8N268
ENSG00000064601,CTSA,P10619
ENSG00000262572,CBX8,Q9HC52
ENSG00000262572,CBX8,
ENSG00000156256,USP16,Q9Y5T5
ENSG00000187792,ZNF70,Q9UC06
ENSG00000128218,VPREB3,
ENSG00000167088,SNRPD1,P62314
ENSG00000167088,SNRPD1,
ENSG00000128218,VPREB3,Q9UKI3
ENSG00000156256,USP16,
ENSG00000260355,ZNF716,A6NP11
ENSG00000138592,USP8,
ENSG00000080503,SMARCA2,P51531
ENSG00000173281,PPP1R3B,Q86XI6
ENSG00000169314,C22orf15,Q8WYQ4
ENSG00000262505,ASIC5,
ENSG00000169314,C22orf15,
ENSG00000253426,RP11-10A14.4,
ENSG00000179242,CDH4,P55283
ENSG00000136935,GOLGA1,Q92805
ENSG00000158201,ABHD3,Q8WU67
ENSG00000158201,ABHD3,
ENSG00000136935,GOLGA1,
ENSG00000262635,TDO2,
ENSG00000250479,CHCHD10,
ENSG00000262635,TDO2,P48775
ENSG00000250479,CHCHD10,Q8WYQ3
ENSG00000168384,HLA-DPA1,P20036
ENSG00000138592,USP8,P40818
ENSG00000121741,ZMYM2,
ENSG00000168384,HLA-DPA1,
ENSG00000121743,GJA3,Q9Y6H8
ENSG00000263238,CTSO,P43234
ENSG00000165474,GJB2,P29033
ENSG00000103657,HERC1,Q15751
ENSG00000102309,PIN4,
ENSG00000124253,PCK1,P35558
ENSG00000103657,HERC1,
ENSG00000124253,PCK1,
ENSG00000141627,DYM,Q7RTS9
ENSG00000141627,DYM,
ENSG00000179253,RP11-429E11.3,
ENSG00000102309,PIN4,Q9Y237
ENSG00000099953,MMP11,P24347
ENSG00000261923,PDE3B,Q13370
ENSG00000261923,PDE3B,
ENSG00000099953,MMP11,
ENSG00000121742,GJB6,O95452
ENSG00000267954,AP000349.1,
ENSG00000156261,CCT8,
ENSG00000273173,SNURF,Q9Y675
ENSG00000130699,TAF4,
ENSG00000186871,ERCC6L,
ENSG00000186871,ERCC6L,Q2NKX8
ENSG00000266074,BAHCC1,
ENSG00000130699,TAF4,O00268
ENSG00000173611,SCAI,Q8N9R8
ENSG00000173273,TNKS,
ENSG00000140553,UNC45A,Q9H3U1
ENSG00000173611,SCAI,
ENSG00000035664,DAPK2,
ENSG00000137806,NDUFAF1,Q9Y375
ENSG00000137806,NDUFAF1,
ENSG00000035664,DAPK2,Q9UIK4
ENSG00000165475,CRYL1,Q9Y2S2
ENSG00000099956,SMARCB1,
ENSG00000177576,C18orf32,Q8TCD1
ENSG00000262968,CYP2R1,
ENSG00000230763,HLA-DPB1,P04440
ENSG00000230763,HLA-DPB1,
ENSG00000099956,SMARCB1,Q12824
ENSG00000173273,TNKS,O95271
ENSG00000198034,RPS4X,P62701
ENSG00000262968,CYP2R1,Q6VVX0
ENSG00000198034,RPS4X,
ENSG00000125787,GNRH2,O43555
ENSG00000156261,CCT8,P50990
ENSG00000119414,PPP6C,O00743
ENSG00000119414,PPP6C,
ENSG00000147852,VLDLR,P98155
ENSG00000147852,VLDLR,
ENSG00000137815,RTF1,Q92541
ENSG00000124256,ZBP1,Q9H171
ENSG00000137815,RTF1,
ENSG00000166797,FAM96A,Q9H5X1
ENSG00000124256,ZBP1,
ENSG00000168263,KCNV2,Q8TDN2
ENSG00000166797,FAM96A,
ENSG00000099958,DERL3,Q96Q80
ENSG00000215472,RPL17-C18orf32,
ENSG00000099958,DERL3,
ENSG00000125901,MRPS26,Q9BYN8
ENSG00000101752,MIB1,Q86YT6
ENSG00000101405,OXT,P01178
ENSG00000170236,USP50,
ENSG00000149657,LSM14B,Q9BX40
ENSG00000101200,AVP,P01185
ENSG00000136933,RABEPK,
ENSG00000080608,KIAA0020,
ENSG00000149657,LSM14B,
ENSG00000136933,RABEPK,Q7Z6M1
ENSG00000267807,ACTG1,P63261
ENSG00000147535,PPAPDC1B,Q8NEB5
ENSG00000102100,SLC35A2,P78381
ENSG00000102100,SLC35A2,
ENSG00000267807,ACTG1,
ENSG00000257637,CR759795.1,
ENSG00000147535,PPAPDC1B,
ENSG00000233348,BAG6,P46379
ENSG00000233348,BAG6,
ENSG00000214265,SNURF,Q9Y675
ENSG00000214265,SNURF,
ENSG00000156265,MAP3K7CL,
ENSG00000044574,HSPA5,P11021
ENSG00000080608,KIAA0020,Q15397
ENSG00000032742,IFT88,Q13099
ENSG00000156265,MAP3K7CL,P57077
ENSG00000032742,IFT88,
ENSG00000124225,PMEPA1,Q969W9
ENSG00000175806,MSRA,Q9UJ68
ENSG00000175806,MSRA,
ENSG00000124225,PMEPA1,
ENSG00000172458,IL17D,Q8TAD2
ENSG00000150456,N6AMT2,Q8WVE0
ENSG00000092439,TRPM7,
ENSG00000102096,PIM2,Q9P1W9
ENSG00000102096,PIM2,
ENSG00000028528,SNX1,
ENSG00000265681,RPL17,P18621
ENSG00000265681,RPL17,
ENSG00000169762,TAPT1,Q6NXT6
ENSG00000156273,BACH1,
ENSG00000101182,PSMA7,
ENSG00000176731,C8orf59,Q8N0T1
ENSG00000176731,C8orf59,
ENSG00000169762,TAPT1,
ENSG00000133460,SLC2A11,Q9BYW1
ENSG00000124237,C20orf85,Q9H1P6
ENSG00000133460,SLC2A11,
ENSG00000028528,SNX1,Q13596
ENSG00000156273,BACH1,O14867
ENSG00000101182,PSMA7,O14818
ENSG00000114062,UBE3A,Q05086
ENSG00000137825,ITPKA,
ENSG00000114062,UBE3A,
ENSG00000137825,ITPKA,P23677
ENSG00000080298,RFX3,P48380
ENSG00000124227,ANKRD60,
ENSG00000092439,TRPM7,Q96QT4
ENSG00000124227,ANKRD60,Q9BZ19
ENSG00000080298,RFX3,
ENSG00000263588,RP11-595B24.2,
ENSG00000203286,AL365202.1,
ENSG00000186416,NKRF,O15226
ENSG00000185019,UBOX5,O94941
ENSG00000251357,AP000350.10,
ENSG00000185019,UBOX5,
ENSG00000125931,CITED1,Q99966
ENSG00000240972,MIF,P14174
ENSG00000187954,CYHR1,Q6ZMK1
ENSG00000215251,FASTKD5,Q7L8L6
ENSG00000187954,CYHR1,
ENSG00000141448,GATA6,Q92908
ENSG00000125931,CITED1,
ENSG00000132953,XPO4,Q9C0E2
ENSG00000218537,AP000350.4,
ENSG00000068308,OTUD5,
ENSG00000123908,AGO2,Q9UKV8
ENSG00000132953,XPO4,
ENSG00000124224,PPP4R1L,
ENSG00000068308,OTUD5,Q96G74
ENSG00000123908,AGO2,
ENSG00000212710,CTAGE1,Q9HC47
ENSG00000212710,CTAGE1,Q96RT6
ENSG00000088899,LZTS3,O60299
ENSG00000088899,LZTS3,
ENSG00000133433,GSTT2B,P0CG30
ENSG00000133433,GSTT2B,
ENSG00000099974,DDTL,A6NHG4
ENSG00000262933,CALCA,P01258
ENSG00000262933,CALCA,P06881
ENSG00000150457,LATS2,Q9NRM7
ENSG00000184647,PRSS55,Q6UWB4
ENSG00000062524,LTK,P29376
ENSG00000184647,PRSS55,
ENSG00000124224,PPP4R1L,Q9P1A2
ENSG00000107249,GLIS3,Q8NEA6
ENSG00000099977,DDT,P30046
ENSG00000062524,LTK,
ENSG00000099977,DDT,
ENSG00000198171,DDRGK1,Q96HY6
ENSG00000198171,DDRGK1,
ENSG00000184402,SS18L1,
ENSG00000215750,AC145212.1,
ENSG00000150459,SAP18,
ENSG00000183638,RP1L1,
ENSG00000269725,BX072566.2,
ENSG00000150459,SAP18,O00422
ENSG00000100979,PLTP,
ENSG00000107249,GLIS3,
ENSG00000237375,BX072566.1,
ENSG00000171060,C8orf74,Q6P047
ENSG00000171060,C8orf74,
ENSG00000099984,GSTT2,P0CG29
ENSG00000099984,GSTT2,
ENSG00000184402,SS18L1,O75177
ENSG00000100979,PLTP,P55058
ENSG00000171056,SOX7,Q9BT81
ENSG00000101670,LIPG,
ENSG00000184674,GSTT1,
ENSG00000171056,SOX7,
ENSG00000172007,RAB33B,Q9H082
ENSG00000165480,SKA3,Q8IX90
ENSG00000125877,ITPA,Q9BY32
ENSG00000171189,GRIK1,
ENSG00000258724,SOX7,
ENSG00000184674,GSTT1,P30711
ENSG00000171189,GRIK1,P39086
ENSG00000101773,RBBP8,
ENSG00000145321,GC,P02774
ENSG00000145321,GC,
ENSG00000165219,GAPVD1,
ENSG00000101670,LIPG,Q9Y5X9
ENSG00000184508,HDDC3,Q8N4P3
ENSG00000235754,APOM,
ENSG00000165480,SKA3,
ENSG00000184508,HDDC3,
ENSG00000235754,APOM,O95445
ENSG00000183653,GRIK1-AS2,
ENSG00000156282,CLDN17,P56750
ENSG00000124209,RAB22A,Q9UL26
ENSG00000173141,MRP63,Q9BQC6
ENSG00000106688,SLC1A1,P43005
ENSG00000106688,SLC1A1,
ENSG00000157734,SNX22,Q96L94
ENSG00000156284,CLDN8,P56748
ENSG00000185015,CA13,Q8N1Q1
ENSG00000157734,SNX22,
ENSG00000188694,KRTAP24-1,Q3LI83
ENSG00000254093,PINX1,Q96BK5
ENSG00000232263,KRTAP25-1,Q3LHN0
ENSG00000254093,PINX1,
ENSG00000197683,KRTAP26-1,Q6PEX3
ENSG00000101773,RBBP8,Q99708
ENSG00000206107,KRTAP27-1,Q3LI81
ENSG00000186980,KRTAP23-1,A1A580
ENSG00000166965,RCCD1,A6NED2
ENSG00000165219,GAPVD1,Q14C86
ENSG00000166965,RCCD1,
ENSG00000182816,KRTAP13-2,Q52LG2
ENSG00000138600,SPPL2A,Q8TCT8
ENSG00000166794,PPIB,P23284
ENSG00000138600,SPPL2A,
ENSG00000226103,C6orf47,O95873
ENSG00000198390,KRTAP13-1,Q8IUC0
ENSG00000240432,KRTAP13-3,Q3SY46
ENSG00000167702,KIFC2,Q96AC6
ENSG00000145391,SETD7,
ENSG00000171044,XKR6,
ENSG00000186971,KRTAP13-4,Q3LI77
ENSG00000171044,XKR6,Q5GH73
ENSG00000145391,SETD7,Q8WTS6
ENSG00000186970,KRTAP15-1,Q3LI76
ENSG00000184351,KRTAP19-1,Q8IUB9
ENSG00000167702,KIFC2,
ENSG00000186965,KRTAP19-2,Q3LHN2
ENSG00000170006,TMEM154,Q6P9G4
ENSG00000170006,TMEM154,
ENSG00000244025,KRTAP19-3,Q7Z4W3
ENSG00000186967,KRTAP19-4,Q3LI73
ENSG00000186977,KRTAP19-5,Q3LI72
ENSG00000186925,KRTAP19-6,Q3LI70
ENSG00000102057,KCND1,
ENSG00000180776,ZDHHC20,Q5W0Z9
ENSG00000244362,KRTAP19-7,Q3SYF9
ENSG00000147548,WHSC1L1,Q9BZ95
ENSG00000124164,VAPB,O95292
ENSG00000206106,KRTAP22-2,Q3LI68
ENSG00000102057,KCND1,Q9NSA2
ENSG00000101181,MTG2,
ENSG00000124164,VAPB,
ENSG00000212938,KRTAP6-3,Q3LI67
